Type,Name,Colour,Linetype,Plot
ARCH,A-AREA-OTLN,1,CONTINUOUS,FALSE
ARCH,A-AREA-OCCP,45,CONTINUOUS,FALSE
ARCH,A-CLNG-GRID,31,CONTINUOUS,TRUE
ARCH,A-CLNG-OPEN,131,CONTINUOUS,TRUE
ARCH,A-CLNG-SUSP,1,HIDDEN,TRUE
ARCH,A-CLNG-MECH,16,CONTINUOUS,TRUE
ARCH,A-CLNG-ELEC,16,CONTINUOUS,TRUE
ARCH,A-COLS-ARCH,3,CONTINUOUS,TRUE
ARCH,A-COLS-STRU,43,HIDDEN,TRUE
ARCH,A-COMP-CONC,3,CONTINUOUS,TRUE
ARCH,A-COMP-CMU,2,CONTINUOUS,TRUE
ARCH,A-COMP-GWB,4,CONTINUOUS,TRUE
ARCH,A-COMP-FLAS,5,CONTINUOUS,TRUE
ARCH,A-COMP-HOLC,53,CONTINUOUS,TRUE
ARCH,A-COMP-INSL,165,CONTINUOUS,TRUE
ARCH,A-COMP-OWSJ,73,CONTINUOUS,TRUE
ARCH,A-COMP-PLY,4,CONTINUOUS,TRUE
ARCH,A-COMP-REZB,5,CONTINUOUS,TRUE
ARCH,A-COMP-STL,3,CONTINUOUS,TRUE
ARCH,A-COMP-VPR,212,HIDDEN2,TRUE
ARCH,A-COMP-WOOD,2,CONTINUOUS,TRUE
ARCH,A-COMP-WJST,2,CONTINUOUS,TRUE
ARCH,A-DOOR-DOOR,140,CONTINUOUS,TRUE
ARCH,A-ELEV-LIN1,135,CONTINUOUS,TRUE
ARCH,A-ELEV-LIN2,23,CONTINUOUS,TRUE
ARCH,A-ELEV-LIN3,132,CONTINUOUS,TRUE
ARCH,A-ELEV-LIN4,2,CONTINUOUS,TRUE
ARCH,A-ELEV-LIN5,92,CONTINUOUS,TRUE
ARCH,A-ELEV-LIN6,172,CONTINUOUS,TRUE
ARCH,A-ELEV-OTLN,7,CONTINUOUS,TRUE
ARCH,A-ELEV-GRLN,61,CONTINUOUS,TRUE
ARCH,A-ELEV-GRBL,155,HIDDEN,TRUE
ARCH,A-ELEV-HID,40,HIDDEN,TRUE
ARCH,A-EQPM-MECH,145,CONTINUOUS,TRUE
ARCH,A-EQPM-ELEC,145,CONTINUOUS,TRUE
ARCH,A-FLOR-MILL,201,CONTINUOUS,TRUE
ARCH,A-FLOR-EVTR,211,CONTINUOUS,TRUE
ARCH,A-FLOR-RAIL,211,CONTINUOUS,TRUE
ARCH,A-FLOR-OTLN,4,CONTINUOUS,TRUE
ARCH,A-FLOR-HID,125,HIDDEN2,TRUE
ARCH,A-FLOR-INTF,165,DOT,TRUE
ARCH,A-FLOR-EXTF,163,CONTINUOUS,TRUE
ARCH,A-FLOR-STRS,14,CONTINUOUS,TRUE
ARCH,A-FURN-FURN,113,HIDDEN2,TRUE
ARCH,A-GLAZ-GLAZ,112,CONTINUOUS,TRUE
ARCH,A-ROOF-FEAT1,55,CONTINUOUS,TRUE
ARCH,A-ROOF-FEAT2,53,CONTINUOUS,TRUE
ARCH,A-ROOF-OTLN1,142,CONTINUOUS,TRUE
ARCH,A-ROOF-OTLN2,52,CONTINUOUS,TRUE
ARCH,A-WALL-EXTW,2,CONTINUOUS,TRUE
ARCH,A-WALL-INTW,4,CONTINUOUS,TRUE
ARCH,A-WALL-FIRE,6,CONTINUOUS,TRUE
ARCH,A-SITE-PROP,7,PHANTOM,TRUE
ARCH,A-SITE-SETB,40,PHANTOM2,TRUE
ARCH,A-SITE-PARK,15,CONTINUOUS,TRUE
ARCH,A-SITE-LSCP1,33,CONTINUOUS,TRUE
ARCH,A-SITE-LSCP2,83,CONTINUOUS,TRUE
ARCH,A-SITE-PAVE,253,CONTINUOUS,TRUE
ARCH,A-SITE-PATH,6,CONTINUOUS,TRUE
ARCH,A-SITE-BLDG,144,CONTINUOUS,TRUE
ARCH,A-DETL-W-PATT,165,CONTINUOUS,TRUE
ARCH,A-DETL-W-VPR,6,HIDDEN2,TRUE
ARCH,A-DETL-W-ARBR,2,HIDDEN,TRUE
ARCH,A-DETL-W-GSKT,2,DOT,TRUE
ARCH,A-DETL-W-WOOD,2,CONTINUOUS,TRUE
ARCH,A-DETL-W-STL,3,CONTINUOUS,TRUE
ARCH,A-DETL-W-INTF,134,CONTINUOUS,TRUE
ARCH,A-DETL-W-EXTF,134,CONTINUOUS,TRUE
ARCH,A-DETL-W-DMATT,1,DASHED,TRUE
ARCH,A-DETL-R-CAPF,160,HIDDEN,TRUE
ARCH,A-DETL-R-MEMB,190,HIDDEN,TRUE
ARCH,A-DETL-R-BASH,191,HIDDEN2,TRUE
ARCH,A-DETL-R-OVBD,20,CONTINUOUS,TRUE
ARCH,A-DETL-F-FFLR,8,CONTINUOUS,TRUE
ARCH,A-DETL-F-INFH,1,CONTINUOUS,TRUE
ARCH,A-KEYP-FLOR,2,CONTINUOUS,TRUE
ARCH,A-KEYP-SITE,2,CONTINUOUS,TRUE
ARCH,A-FDTN-FTG,130,HIDDEN,TRUE
ARCH,A-FDTN-FWAL,3,CONTINUOUS,TRUE
ARCH,A-AS,254,CONTINUOUS,TRUE
ARCH,A-AD,254,CONTINUOUS,TRUE
ARCH,A-AE,254,CONTINUOUS,TRUE
ARCH,A-AI,254,CONTINUOUS,TRUE
ARCH,A-AF,254,CONTINUOUS,TRUE
ARCH,A-AG,254,CONTINUOUS,TRUE
ARCH,A-RC,254,CONTINUOUS,TRUE
ARCH,A-RS,254,CONTINUOUS,TRUE
ARCH,A-RA,254,CONTINUOUS,TRUE
ARCH,A-RM,254,CONTINUOUS,TRUE
ARCH,A-RE,254,CONTINUOUS,TRUE
ARCH,A-RFP,254,CONTINUOUS,TRUE
ARCH,A-RL,254,CONTINUOUS,TRUE
ARCH,S-ARCH,254,CONTINUOUS,TRUE
ARCH,S-ARCH-CEN,254,CENTER,TRUE
